Customer Code,Company Name,Ship to Name,Physical Address Line 1,City,State,Zip,Area Code,Phone Exchange,Physical Phone,EMAIL_ADDRESS,EMAIL_ADDRESS_2,Profile Desc,Dist,Account,Display,Date,EndDate,CRM ,,Website,Lat ,Long
WAGCAR,WAGNER CARPETS LLC,WAGNER CARPETS LLC,850 ST PAUL ST  STE 35,ROCHESTER,ny,14605,585,271,9050,wagnercarpets@gmail.com,,TARKETT 22 PIN DISPLAY,131263,649875,RES22PINLTDISP,20210401,99991231,,,,,
WAGCAR,WAGNER CARPETS LLC,WAGNER CARPETS LLC,850 ST PAUL ST  STE 35,ROCHESTER,NY,14605,585,271,9050,wagnercarpets@gmail.com,,TARKETT NEW INTRO DISPLAY,131263,649875,RESBDISP2020ADT,20210401,99991231,,,,,
MARTIN,T MARTINI & SON WHOLESALE,THOMAS MARTINI & SONS,217 CENTRE AVE,ABINGTON,MA,023512207,781,871,5902,madanno46@gmail.com,,TARKETT 22 PIN DISPLAY,131263,607354,RES22PINLTDISP,20210401,99991231,,,,,
SHUFLO,SHULTZ FLOORING,SHULTZ FLOORING,49 SPRING ST,ADAMS,NY,136051224,315,486,2060,shultzflooring@twcny.rr.com,,LEXMARK NEW LIVING DISPLA,131263,610705,RES22PINLTDISP,20210401,99991231,,,,,
CADECH,THE CARPET WAREHOUSE,CARPET WAREHOUSE,350 MAIN ST,AGAWAM,MA,01001,413,233,3100,lisal@alliedflooringandpaint.com,tonyt@alliedflooringandpaint.com,TARKETT NEW INTRO DISPLAY,ok,,RESBDISP2020ADT,20210401,99991231,,,,,
CADECH,THE CARPET WAREHOUSE,CARPET WAREHOUSE,350 MAIN ST,AGAWAM,MA,01001,413,233,3100,lisal@alliedflooringandpaint.com,tonyt@alliedflooringandpaint.com,LEXMARK NEW LIVING DISPLA,131263,612304,RES22PINLTDISP,20210401,99991231,,,,,
ALCAWA,ALBANY CARPET,ALBANY CARPET WHSE,242 Wolf Rd,ALBANY,NY,12205,518,435,7847,maegen_jackson@outlook.com,djackson72167@gmail.com,TARKETT NEW INTRO DISPLAY,131263,623997,RESBDISP2020ADT,20210401,99991231,,,,,
ALCAWA,ALBANY CARPET,ALBANY CARPET WHSE,242 Wolf Rd,ALBANY,NY,12205,518,435,7847,maegen_jackson@outlook.com,djackson72167@gmail.com,LEXMARK NEW LIVING DISPLA,ok,,RES30PINLIVDISP,20210401,99991231,,,,,
CADIPR,CAPITAL DISTRICT,CAPITAL DISTRICT FLR,110 RAILROAD AVE,ALBANY,NY,12205,518,437,0000,nmiltenberg@floormail.net,gtaylor@floormail.net,TARKETT 22 PIN DISPLAY,131263,627393,RES22PINLTDISP,20210401,99991231,,,,,
CADIPR,CAPITAL DISTRICT,CAPITAL DISTRICT FLR,110 RAILROAD AVE,ALBANY,NY,12205,518,437,0000,nmiltenberg@floormail.net,gtaylor@floormail.net,TARKETT NEW INTRO DISPLAY,131263,627393,RESBDISP2020ADT,20210401,99991231,,,,,
CAMANY,CARPETMASTER OF LATHAM LTD,CPTMASTER OF LATHAM,110 RAILROAD AVE,ALBANY,NY,12205,518,435,9544,nmiltenberg@floormail.net,,TARKETT 22 PIN DISPLAY,ok,607414,,20210401,99991231,,,,,
TSEHOL,TSE HOLDING CORP DBA DE/MAR,DE/MAR,51 RAILROAD AVE,ALBANY,NY,122055711,000,000,0000,sharon@demarflooring.com,,TARKETT 22 PIN DISPLAY,131263,621544,RES22PINLTDISP,20210401,99991231,,,,,
KDFLHO,KD FLOORING,KD FLOORING,419 WEST STATE ST,ALBION,NY,144111354,585,298,8757,kdflooring17@gmail.com,,TARKETT NEW INTRO DISPLAY,131263,NEW,RESBDISP2020ADT,20210401,99991231,,,,,
RACAET,RAY'S CARPET-ETTE INC,RAY'S CPT-ETTE INC,66 W MAIN ST,ALLEGANY,NY,147061202,716,372,1442,,,TARKETT NEW INTRO DISPLAY,131263,608275,RESBDISP2020ADT,20210401,99991231,,,,,
RACAET,RAY'S CARPET-ETTE INC,RAY'S CPT-ETTE INC,66 W MAIN ST,ALLEGANY,NY,147061202,716,372,1442,,,LEXMARK NEW LIVING DISPLA,ok,608275,RES30PINLIVDISP,20210401,99991231,,,,,
MUFADI,MULLEN FACTORY,MULLEN FACTORY DIREC,5 SCHOOL ST,ALMOND,NY,14804,607,276,5200,mullencarpet@gmail.com,,TARKETT NEW INTRO DISPLAY,131263,634184,RESBDISP2020ADT,20210401,99991231,,,,,
MUFADI,MULLEN FACTORY,MULLEN FACTORY DIREC,5 SCHOOL ST,ALMOND,NY,14804,607,276,5200,mullencarpet@gmail.com,,LEXMARK NEW LIVING DISPLA,ok,634184,RES30PINLIVDISP,20210401,99991231,,,,,
ACORNH,ACORN FLOORING & TILE LLC,ACORN FLOORING &TILE,166 WOLFEBORO HWY UNIT 4,ALTON,NH,038094944,603,875,3655,johnacorn111@gmail.com,johncurtis.powers@gmail.com,TARKETT NEW INTRO DISPLAY,131263,648701,RESBDISP2020ADT,20210401,99991231,,,,,
ACORNH,ACORN FLOORING & TILE LLC,ACORN FLOORING &TILE,166 WOLFEBORO HWY UNIT 4,ALTON,NH,038094944,603,875,3655,johnacorn111@gmail.com,johncurtis.powers@gmail.com,LEXMARK NEW LIVING DISPLA,ok,648701,RES30PINLIVDISP,20210401,99991231,,,,,
ALFLTI,ALTON FLOORING & TILE LLC,ALTON FLOORING & TIL,18 DEPOT ST,ALTON,NH,03809,603,875,3507,alton_flooring.tile@yahoo.com,,TARKETT 22 PIN DISPLAY,131263,635028,RES22PINLTDISP,20210401,99991231,555569,New address,,,
ALFLTI,ALTON FLOORING & TILE LLC,ALTON FLOORING & TIL,18 DEPOT ST,ALTON,NH,03809,603,875,3507,alton_flooring.tile@yahoo.com,,TARKETT NEW INTRO DISPLAY,131263,635028,RES30PINLIVDISP,20210401,99991231,555569,New address,,,
WACAON,WARREN'S CARPET & FLOOR CENTER,WARREN'S CPT & FLOOR,2965 NIAGARA FALLS BLVD,AMHERST,NY,142282023,716,213,0783,warren@warrenscarpetone.com,virginia@warrenscarpetone.com,TARKETT 22 PIN DISPLAY,ok,623938,,20210401,99991231,,,,,
CHCACL,CHIARO'S CARPET CLEANING,CHIARO'S CARPET CLN,26 CLIFTON AVE,ANSONIA,CT,06401,203,734,8756,achiaro5165@sbcglobal.net,,TARKETT 22 PIN DISPLAY,131263,621693,RES22PINLTDISP,20210401,99991231,,,,,
CUTTER,CUTTER FLOORING & BLINDS,CUTTER FLOORING,24 MAIN ST,ANTRIM,NH,034403920,603,588,3711,terrycutter@cutterflooring.comcastbiz.net,,TARKETT 22 PIN DISPLAY,131263,601751,RES22PINLTDISP,20210401,99991231,,,,,
CUTTER,CUTTER FLOORING & BLINDS,CUTTER FLOORING,24 MAIN ST,ANTRIM,NH,034403920,603,588,3711,terrycutter@cutterflooring.comcastbiz.net,,TARKETT NEW INTRO DISPLAY,131263,601751,RESBDISP2020ADT,20210401,99991231,,,,,
JACAON,JAY CARPET CENTER INC DBA,JAY CARPET CENTER,314 S MAIN ST,ATHENS,PA,18810,570,888,6211,trisha@jaycarpet.com,,TARKETT NEW INTRO DISPLAY,131263,627444,RESBDISP2020ADT,20210401,99991231,,,,,
JACAON,JAY CARPET CENTER INC DBA,JAY CARPET CENTER,314 S MAIN ST,ATHENS,PA,18810,570,888,6211,trisha@jaycarpet.com,,LEXMARK NEW LIVING DISPLA,131263,627444,RES30PINLIVDISP,20210401,99991231,,,,,
ATTFUR,ATTICA FURNITURE INC,ATTICA FURNITURE INC,703 CREEK RD,ATTICA,NY,140119601,585,591,2353,mike@hardingsatticafurniture.com,ted@hardingsatticafurniture.com,TARKETT 22 PIN DISPLAY,131263,608336,RES22PINLTDISP,20210401,99991231,,,,,
ATTFUR,ATTICA FURNITURE INC,ATTICA FURNITURE INC,703 CREEK RD,ATTICA,NY,140119601,585,591,2353,mike@hardingsatticafurniture.com,ted@hardingsatticafurniture.com,TARKETT NEW INTRO DISPLAY,131263,608336,RESBDISP2020ADT,20210401,99991231,,,,,
BACAHO,BAKER CARPET HOUSE INC,BAKER CPT HOUSE INC,204 GRANT AVE,AUBURN,NY,13021,,,,carpethouse@live.com,,TARKETT NEW INTRO DISPLAY,131263,627283,RESBDISP2020ADT,20210401,99991231,,,,,
BACAHO,BAKER CARPET HOUSE INC,BAKER CPT HOUSE INC,204 GRANT AVE,AUBURN,NY,13021,,,,carpethouse@live.com,,LEXMARK NEW LIVING DISPLA,ok,627283,RES30PINLIVDISP,20210401,99991231,,,,,
NEWBEG,NEW BEGINNINGS FLOORING,NEW BEGINNINGS FLOOR,390 WESTERN AVE STE 1,AUGUSTA,ME,043306012,207,512,8650,newbeginningsflooring@yahoo.com,,LEXMARK NEW LIVING DISPLA,ok,615944,RES30PINLIVDISP,20210401,99991231,,,,,
LIMCAR,LIMA CARPET,LIMA CARPET,2474 LAKEVILLE RD,AVON,NY,144149723,585,226,2180,limacarpetcorp@frontiernet.net,,TARKETT 22 PIN DISPLAY,131263,618661,RES22PINLTDISP,20210401,99991231,,,,,
CECAMA,CENTURY CARPET &,CENTURY CARPET &,21 MAIN ST,AYER,MA,01432,978,772,6300,floors@century-carpets.com,,TARKETT 22 PIN DISPLAY,ok,629881,,20210401,99991231,,,,,
CECAMA,CENTURY CARPET &,CENTURY CARPET &,21 MAIN ST,AYER,MA,01432,978,772,6300,floors@century-carpets.com,,TARKETT NEW INTRO DISPLAY,131263,629881,RESBDISP2020ADT,20210401,99991231,,,,,
BACATI,BALLSTON CARPET & TILE,BALLSTON CPT & TILE,2130 SARATOGA RD,BALLSTON SPA,NY,12020,,,,joe@ballstoncarpet.com,,TARKETT 22 PIN DISPLAY,131263,607161,RES22PINLTDISP,20210401,99991231,,,,,
VLWALT,V.L.WALTON'S CARPET SALES,VL WALTONS CPT SALES,556 HAMMOND ST,BANGOR,ME,044014545,207,945,6911,vlwaltonsflooring@gmail.com,,LEXMARK NEW LIVING DISPLA,131263,607373,RES30PINLIVDISP,20210401,99991231,,,,,
DBAFBA,DB AFFORDABLE FLOORCOVERING,DB AFFORDABLE FLRCOV,4152 W MAIN ST,BATAVIA,NY,140201235,585,345,1108,affordabledb@gmail.com,,TARKETT 22 PIN DISPLAY,131263,627279,RES22PINLTDISP,20210401,99991231,,,,,
DBAFBA,DB AFFORDABLE FLOORCOVERING,DB AFFORDABLE FLRCOV,4152 W MAIN ST,BATAVIA,NY,140201235,585,345,1108,affordabledb@gmail.com,,TARKETT NEW INTRO DISPLAY,131263,627279,RESBDISP2020ADT,20210401,99991231,,,,,
MAPIFU,MAX PIES FURNITURE CO,MAX PIES FURNITURE,400 S JACKSON ST,BATAVIA,NY,140203806,585,343,6280,steve@maxpiesfurniture.com,,TARKETT NEW INTRO DISPLAY,131263,627343,RESBDISP2020ADT,20210401,99991231,,,,,
WIWAPA,WILLS WALLPAPER &,WILLS WALLPAPER &FLR,651 E MAIN ST,BATAVIA,NY,140202811,585,343,7830,willsc1@verizon.net,,TARKETT 22 PIN DISPLAY,ok,,,20210401,99991231,,,,,
CRFLCL,CF&C INC. DBA CROWN FLOORING &,CROWN FLOORING,410 SO. RIVER ROAD SUITE 10,BEDFORD,NH,031106961,603,931,4000,crownflooringnh@gmail.com,,LEXMARK NEW LIVING DISPLA,ok,608280,RES30PINLIVDISP,20210401,99991231,,,,,
HOMBEA,THE HOME BEAUTIFUL,THE HOME BEAUTIFUL INC,141 DANIEL WEBSTER HWY,BELMONT,NH,032203030,603,524,5588,tom@home-beautiful.com,angela@home-beautiful.com,TARKETT NEW INTRO DISPLAY,131263,607554,RESBDISP2020ADT,20210401,99991231,,,,,
HOMBEA,THE HOME BEAUTIFUL,THE HOME BEAUTIFUL INC,141 DANIEL WEBSTER HWY,BELMONT,NH,032203030,603,524,5588,tom@home-beautiful.com,angela@home-beautiful.com,LEXMARK NEW LIVING DISPLA,131263,607554,RES30PINLIVDISP,20210401,99991231,,,,,
J&SFLO,J&S FLOOR COVERING,J&S FLOOR COVERING,765 BELMONT STREET,BELMONT,MA,024784440,781,258,1821,davidparrella@comcast.net,,TARKETT 22 PIN DISPLAY,131263,607484,RES22PINLTDISP,20210401,99991231,855656,,,,
BENFUR,BENNINGTON FURNITURE INC,BENNINGTON FURNITURE,1371 HARWOOD HILL RD,BENNINGTON,VT,05201,000,000,0000,confirmations@benningtonfurniture.com,,TARKETT 22 PIN DISPLAY,131263,634291,RES22PINLTDISP,20210401,99991231,,,,,
BENFUR,BENNINGTON FURNITURE INC,BENNINGTON FURNITURE,1371 HARWOOD HILL RD,BENNINGTON,VT,05201,000,000,0000,confirmations@benningtonfurniture.com,,TARKETT NEW INTRO DISPLAY,131263,634291,RESBDISP2020ADT,20210401,99991231,,,,,
CARWAR,WCW INC,WCW CARPET WAREHOUSE,211 RIVER ST,BENNINGTON,VT,05201,802,447,1166,info@wcwcarpetwarehouse.com,,TARKETT 22 PIN DISPLAY,131263,607562,RES22PINLTDISP,20210401,99991231,855659,,,,
PARIFL,P.R. FLOOR COVERING LLC,PAUL RITCHIE FLOORCOVERING,94 CABOT ST,BEVERLY,MA,019155105,978,927,3256,prfc1@comcast.net,,TARKETT 22 PIN DISPLAY,131263,607295,RES22PINLTDISP,20210401,99991231,,,,,
DOLLBI,DEVOE COLOR CENTER,DEVOE COLOR CENTER,561 ELM ST,BIDDEFORD,ME,040054324,207,953,0754,devoecoloranddesign@mail.com,,LEXMARK NEW LIVING DISPLA,ok,624796,RES30PINLIVDISP,20210401,99991231,,,,,
BIRUPA,BIG RUN FLOORING,BIG RUN FLOORING,300 EAST MAIN STREET,BIG RUN,PA,157159998,814,427,2041,eli@bigrunflooring.com,,TARKETT NEW INTRO DISPLAY,131263,634346,RESBDISP2020ADT,20210401,99991231,,,,,
BIRUPA,BIG RUN FLOORING,BIG RUN FLOORING,300 EAST MAIN STREET,BIG RUN,PA,157159998,814,427,2041,eli@bigrunflooring.com,,LEXMARK NEW LIVING DISPLA,ok,634346,RES30PINLIVDISP,20210401,99991231,,,,,
STCUFL,STEPHEN'S CUSTOM,STEPHENS CUSTOM,630 BOSTON RD,BILLERICA,MA,018215921,978,362,3090,crazyrugguy@yahoo.com,,TARKETT NEW INTRO DISPLAY,ok,635112,RESBDISP2020ADT,20210401,99991231,,,,,
STCUFL,STEPHEN'S CUSTOM,STEPHENS CUSTOM,630 BOSTON RD,BILLERICA,MA,018215921,978,362,3090,crazyrugguy@yahoo.com,,LEXMARK NEW LIVING DISPLA,ok,635112,RES30PINLIVDISP,20210401,99991231,,,,,
NAFLBI,NATIONAL FLOOR CENTER LLC,NATIONAL FLOOR CENTE,46 S WASHINGTON ST,BINGHAMTON,NY,139031772,607,296,4302,rte@nationalfloorcenter.com,,TARKETT 22 PIN DISPLAY,ok,634627,RES22PINLTDISP,20210401,99991231,,,,,
NAFLBI,NATIONAL FLOOR CENTER LLC,NATIONAL FLOOR CENTE,46 S WASHINGTON ST,BINGHAMTON,NY,139031772,607,296,4302,rte@nationalfloorcenter.com,,TARKETT NEW INTRO DISPLAY,131263,634627,RESBDISP2020ADT,20210401,99991231,,,,,
HAFLBL,HAMBURG FLOORCOVERING,HAMBURG FLOORCOVERIN,3882 S PARK AVE,BLASDELL,NY,142191812,716,825,0070,megan@hamburgfloorcovering.com,,TARKETT NEW INTRO DISPLAY,131263,627319,RESBDISP2020ADT,20210401,99991231,,,,,
HAFLBL,HAMBURG FLOORCOVERING,HAMBURG FLOORCOVERIN,3882 S PARK AVE,BLASDELL,NY,142191812,716,825,0070,megan@hamburgfloorcovering.com,,LEXMARK NEW LIVING DISPLA,ok,627319,RES30PINLIVDISP,20210401,99991231,,,,,
AMHACO,AMAZING HARDWOOD FLOORS LLC,AMAZING HARDWOOD FLOORS LLC,667 BOSTON TPKE,BOLTON,CT,06043,860,742,5819,jarius@amazinghardwoodfloors.com,info@amazinghardwoodfloors.com,TARKETT 22 PIN DISPLAY,131263,618744,RES22PINLTDISP,20210401,99991231,,,,,
AMHACO,AMAZING HARDWOOD FLOORS LLC,AMAZING HARDWOOD FLOORS LLC,667 BOSTON TPKE,BOLTON,CT,06043,860,742,5819,jarius@amazinghardwoodfloors.com,info@amazinghardwoodfloors.com,TARKETT NEW INTRO DISPLAY,131263,618744,RESBDISP2020ADT,20210401,99991231,,,,,
VAFLNY,VALLEY FLOORS & CARPET,VALLEY FLOORS &,8909 BOSTON STATE RD,BOSTON,NY,14025,716,941,6564,valleyfloorsandcarpetcleaning@yahoo.com,,TARKETT NEW INTRO DISPLAY,131263,635185,RESBDISP2020ADT,20210401,99991231,,,,,
VAFLNY,VALLEY FLOORS & CARPET,VALLEY FLOORS &,8909 BOSTON STATE RD,BOSTON,NY,14025,716,941,6564,valleyfloorsandcarpetcleaning@yahoo.com,,LEXMARK NEW LIVING DISPLA,131263,635185,RES30PINLIVDISP,20210401,99991231,,,,,
COCACT,COMPLETE CARPET CTR,COMPLETE CARPET CTR,1233 MASSACHUSETTS AVE #2,BOXBOROUGH,MA,01719,508,733,2025,completecarpetcenter@gmail.com,,TARKETT NEW INTRO DISPLAY,131263,NEW,RESBDISP2020ADT,20210401,99991231,855666,,,,
COCACT,COMPLETE CARPET CTR,COMPLETE CARPET CTR,1233 MASSACHUSETTS AVE #2,BOXBOROUGH,MA,01719,508,733,2025,completecarpetcenter@gmail.com,,LEXMARK NEW LIVING DISPLA,131263,NEW,RES30PINLIVDISP,20210401,99991231,855666,,,,
SHFLBR,SHEMBEDA FLOOR COVERING INC,SHEMBEDA FLOOR COV,657 SOUTH AVE,BRADFORD,PA,167013977,814,362,2956,,,TARKETT 22 PIN DISPLAY,131263,608289,RES22PINLTDISP,20210401,99991231,832484,,,,
SHFLBR,SHEMBEDA FLOOR COVERING INC,SHEMBEDA FLOOR COV,657 SOUTH AVE,BRADFORD,PA,167013977,814,362,2956,,,TARKETT NEW INTRO DISPLAY,131263,608289,RESBDISP2020ADT,20210401,99991231,832484,,,,
VALFLO,VALLEY FLOORS,VALLEY FLOORS,515 WAITS RIVER ROAD,BRADFORD,VT,05033,,,,ryan.chase@valleyfloorsinc.com,,TARKETT NEW INTRO DISPLAY,ok,601574,RESBDISP2020ADT,20210401,99991231,,,,,
VALFLO,VALLEY FLOORS,VALLEY FLOORS,515 WAITS RIVER ROAD,BRADFORD,VT,05033,,,,ryan.chase@valleyfloorsinc.com,,LEXMARK NEW LIVING DISPLA,131263,601574,RES30PINLIVDISP,20210401,99991231,,,,,
LAFLBR,HANKERS LLC,HANKERS LLC DBA LAWTON FLOORING,972 PUTNEY RD UNIT 3,BRATTLEBORO,VT,053019064,802,254,9303,robin@lawtonfloordesign.com,,TARKETT 22 PIN DISPLAY,ok,624846,RES22PINLTDISP,20210401,99991231,,,,,
LAFLBR,HANKERS LLC,HANKERS LLC DBA LAWTON FLOORING,972 PUTNEY RD UNIT 3,BRATTLEBORO,VT,053019064,802,254,9303,robin@lawtonfloordesign.com,,TARKETT NEW INTRO DISPLAY,131263,624846,RESBDISP2020ADT,20210401,99991231,,,,,
SHFLNY,SHUSTERS FLOORING,SHUSTERS FLOORING,9655 BREWERTON RD,BREWERTON,NY,130299704,315,668,5372,shusters@shustersny.com,,TARKETT NEW INTRO DISPLAY,131263,636777,RESBDISP2020ADT,20210401,99991231,,,,,
SHFLNY,SHUSTERS FLOORING,SHUSTERS FLOORING,9655 BREWERTON RD,BREWERTON,NY,130299704,315,668,5372,shusters@shustersny.com,,LEXMARK NEW LIVING DISPLA,131263,636777,RES30PINLIVDISP,20210401,99991231,,,,,
URFLCT,URBAN FLOORS,URBAN FLOORS,1317 BOSTON AVE,BRIDGEPORT,CT,066102614,203,334,6898,swhiteman33@optonline.net,parkcitycarpet@gmail.com,LEXMARK NEW LIVING DISPLA,ok,622028,RES30PINLIVDISP,20210401,99991231,409879,,,,
MMCABR,M&M CARPET,M&M CARPET,99 MAPLE STREET,BRISTOL,CT,060105036,860,583,8333,,,TARKETT 22 PIN DISPLAY,131263,634240,RES22PINLTDISP,20210401,99991231,,,,,
BRCUCA,BROCKPORT CUSTOM CARPET INC,BROCKPORT CUSTOM CPT,4590 LAKE RD S,BROCKPORT,NY,144202369,585,637,7551,,,TARKETT NEW INTRO DISPLAY,131263,607408,RESBDISP2020ADT,20210401,99991231,,,,,
FLDECO,FLOORING DESIGNS INC,FLOORING DESIGNS INC,707 CENTRE ST,BROCKTON,MA,023023310,508,580,3232,lucy@flooringdesignsinc.com,flooringdesign@verizon.net,TARKETT 22 PIN DISPLAY,131263,624809,RES22PINLTDISP,20210401,99991231,855669,,,,
FLDECO,FLOORING DESIGNS INC,FLOORING DESIGNS INC,707 CENTRE ST,BROCKTON,MA,023023310,508,580,3232,lucy@flooringdesignsinc.com,flooringdesign@verizon.net,TARKETT NEW INTRO DISPLAY,131263,624809,RESBDISP2020ADT,20210401,99991231,855669,,,,
ALCANY,ALLASEN CARPET,ALLASEN CARPET,394 FRANKLIN ST,BUFFALO,NY,142021509,716,854,3127,info@allasencarpet.com,,TARKETT NEW INTRO DISPLAY,131263,623949,RESBDISP2020ADT,20210401,99991231,824697,,,,
ALCANY,ALLASEN CARPET,ALLASEN CARPET,394 FRANKLIN ST,BUFFALO,NY,142021509,716,854,3127,info@allasencarpet.com,,LEXMARK NEW LIVING DISPLA,131263,623949,RES30PINLIVDISP,20210401,99991231,924697,,,,
GLFLCE,G & L FLOORING CENTER INC,G & L FLOORING CTR,200 GRANT ST,BUFFALO,NY,142131606,716,886,7000,pmurphy804@aol.com,,TARKETT 22 PIN DISPLAY,ok,623766,RES22PINLTDISP,20210401,99991231,855690,,,,
GLFLCE,G & L FLOORING CENTER INC,G & L FLOORING CTR,200 GRANT ST,BUFFALO,NY,142131606,716,886,7000,pmurphy804@aol.com,,TARKETT NEW INTRO DISPLAY,131263,623766,RESBDISP2020ADT,20210401,99991231,855690,,,,
PAFPRO,PAFCO PRODUCTS INC,PAFCO PRODUCTS / FLOORING SOLUTIONS OF WNY INC,107 THIELMAN DR,BUFFALO,NY,142062360,716,684,7314,pafcoproducts@pafcoproducts.com,,LEXMARK NEW LIVING DISPLA,131263,647522,RES30PINLIVDISP,20210401,99991231,,,,,
ABPAGL,ABLE PAINT GLASS & FLOORING,ABLE PAINT GLASS &,683 PINE ST,BURLINGTON,VT,05401,802,655,6500,maryjane@ablevt.com,joshc@ablevt.com,TARKETT NEW INTRO DISPLAY,ok,612285,RESBDISP2020ADT,20210401,99991231,,,,,
ABPAGL,ABLE PAINT GLASS & FLOORING,ABLE PAINT GLASS &,683 PINE ST,BURLINGTON,VT,05401,802,655,6500,maryjane@ablevt.com,joshc@ablevt.com,LEXMARK NEW LIVING DISPLA,ok,612285,RES30PINLIVDISP,20210401,99991231,,,,,
BDHOCA,B & D HOUSE 0F CPTS,B & D HOUSE 0F CPTS,217 MIDDLESEX TPKE,BURLINGTON,MA,01803,781,272,0970,bob@banddcarpets.com,,TARKETT 22 PIN DISPLAY,ok,606962,RES22PINLTDISP,20210401,99991231,,,,,
BDHOCA,B & D HOUSE 0F CPTS,B & D HOUSE 0F CPTS,217 MIDDLESEX TPKE,BURLINGTON,MA,01803,781,272,0970,bob@banddcarpets.com,,TARKETT NEW INTRO DISPLAY,ok,606962,RESBDISP2020ADT,20210401,99991231,,,,,
NEFLBU,N.E. FLOOR COVERING,NEW ENGLAND FLOOR COVERING,257 PINE ST,BURLINGTON,VT,054014736,802,658,9336,bcherry@nefcvt.com,pdonohue@nefcvt.com,TARKETT 22 PIN DISPLAY,131263,627350,RES22PINLTDISP,20210401,99991231,,,,,
TRSTTI,TRI-STATE FLOORING INC,TRI-STATE FLOORING,180 FLYNN AVE,BURLINGTON,VT,054015423,802,864,5589,mike@tristateflooringvt.com,,LEXMARK NEW LIVING DISPLA,131263,607361,RES30PINLIVDISP,20210401,99991231,,,,,
AWAFLO,AWARD FLOORING INC,AWARD FLOORING INC,270 MAIN STREET,BUZZARDS BAY,MA,02532,508,759,9222,awardfloor@aol.com,,LEXMARK NEW LIVING DISPLA,131263,629708,RES30PINLIVDISP,20210401,99991231,,,,,
BOSCAR,BOSTON CARPET,BOSTON CARPET,1 NEW BOSTON DR STE 3,CANTON,MA,02021,781,821,5800,tinabostoncarpet@comcast.net,,TARKETT 22 PIN DISPLAY,131263,612448,RES22PINLTDISP,20210401,99991231,,,,,
COCAON,"JOHN P. COAKLEY SONS, INC.",JOHN P. COAKLEY SONS /COAKLEY CARPET ONE FLOOR & HOME,2535 STATE HIGHWAY 68,CANTON,NY,13617,315,386,8161,flooring@coakleys.net,,TARKETT NEW INTRO DISPLAY,131263,601792,RESBDISP2020ADT,20210401,99991231,,,,,
COCAON,"JOHN P. COAKLEY SONS, INC.",JOHN P. COAKLEY SONS /COAKLEY CARPET ONE FLOOR & HOME,2535 STATE HIGHWAY 68,CANTON,NY,13617,315,386,8161,flooring@coakleys.net,,LEXMARK NEW LIVING DISPLA,131263,601792,RES30PINLIVDISP,20210401,99991231,,,,,
